Year,Average,,,,,,,,,,,,,,,,,,,,,,,
1981,4.033333249,,,,,,,,,,,,,,,,,,,,,,,
1982,4.922222137,,,,,,,,,,,,,,,,,,,,,,,
1983,6.054545424,,,,,,,,,,,,,,,,,,,,,,,
1984,6.263636383,,,,,,,,,,,,,,,,,,,,,,,
1985,6.258333315,,,,,,,,,,,,,,,,,,,,,,,
1986,6.1,,,,,,,,,,,,,,,,,,,,,,,
1987,5.987499952,,,,,,,,,,,,,,,,,,,,,,,
1988,5.625000015,,,,,,,,,,,,,,,,,,,,,,,
1989,5.370588236,,,,,,,,,,,,,,,,,,,,,,,
1990,5.258823542,,,,,,,,,,,,,,,,,,,,,,,
1991,5.842105332,,,,,,,,,,,,,,,,,,,,,,,
1992,6.260000026,,,,,,,,,,,,,,,,,,,,,,,
1993,7.173913018,,,,,,,,,,,,,,,,,,,,,,,
1994,7.195833355,,,,,,,,,,,,,,,,,,,,,,,
1995,6.670833344,,,,,,,,,,,,,,,,,,,,,,,
1996,6.952000041,,,,,,,,,,,,,,,,,,,,,,,
1997,6.773076942,,,,,,,,,,,,,,,,,,,,,,,
1998,6.866666644,,,,,,,,,,,,,,,,,,,,,,,
1999,6.881481515,,,,,,,,,,,,,,,,,,,,,,,
2000,7.01851851,,,,,,,,,,,,,,,,,,,,,,,
2001,6.631034456,,,,,,,,,,,,,,,,,,,,,,,
2002,6.872413824,,,,,,,,,,,,,,,,,,,,,,,
2003,6.968965506,,,,,,,,,,,,,,,,,,,,,,,
2004,6.903448261,,,,,,,,,,,,,,,,,,,,,,,
2005,6.303703723,,,,,,,,,,,,,,,,,,,,,,,
